,year,match_id,tourney_order,tourney_round_name,round_order,match_order,player1,player2,h2h_win,h2h_lose,h2h_times
0,1994,1994-7308-m099-s380,1,Round of 32,5,1,Bryan Shelton,Thomas Muster,1,0,1
1,1994,1994-7308-k181-r214,1,Round of 32,5,2,Marc Rosset,Nicklas Kulti,1,1,2
2,1994,1994-7308-f164-w023,1,Round of 32,5,7,Mats Wilander,Richard Fromberg,0,1,1
3,1994,1994-7308-r186-e113,1,Round of 32,5,14,Guillaume Raoux,Thomas Enqvist,0,1,1
4,1994,1994-7308-s406-m099,1,Round of 16,4,1,Grant Stafford,Thomas Muster,1,1,2
5,1994,1994-7308-v037-b040,1,Round of 16,4,3,Alexander Volkov,Christian Bergstrom,1,0,1
6,1994,1994-7308-r255-s321,1,Round of 16,4,5,Brett Steven,Patrick Rafter,1,1,2
7,1994,1994-7308-v037-c328,1,Quarter-Finals,3,1,Alexander Volkov,Kenneth Carlsen,0,1,1
8,1994,1994-7308-k181-r186,1,Quarter-Finals,3,3,Guillaume Raoux,Nicklas Kulti,0,1,1
9,1994,1994-7308-r255-s406,1,Quarter-Finals,3,4,Grant Stafford,Patrick Rafter,1,0,1
10,1994,1994-7308-v037-k181,1,Semi-Finals,2,1,Alexander Volkov,Nicklas Kulti,1,1,2
11,1994,1994-7308-k267-v037,1,Finals,1,1,Alexander Volkov,Yevgeny Kafelnikov,1,0,1
12,1994,1994-451-e004-m096,2,Round of 32,5,3,Gary Muller,Stefan Edberg,0,1,1
13,1994,1994-451-i034-m338,2,Round of 32,5,4,Goran Ivanisevic,Shuzo Matsuoka,0,1,1
14,1994,1994-451-p235-s015,2,Round of 32,5,6,Javier Sanchez,Stefano Pescosolido,0,2,2
15,1994,1994-451-b305-c260,2,Round of 32,5,7,Andrei Cherkasov,Karsten Braasch,1,0,1
16,1994,1994-451-a006-b429,2,Round of 32,5,9,Jordi Burillo,Ronald Agenor,1,0,1
17,1994,1994-451-j006-h191,2,Round of 32,5,13,Anders Jarryd,Henrik Holm,1,1,2
18,1994,1994-451-l014-e106,2,Round of 16,4,5,Henri Leconte,Jacco Eltingh,0,1,1
19,1994,1994-451-o009-s080,2,Round of 16,4,6,Andrei Olhovskiy,Carl-Uwe Steeb,0,1,1
20,1994,1994-451-p235-d015,2,Round of 16,4,7,Olivier Delaitre,Stefano Pescosolido,1,0,1
21,1994,1994-451-e004-l014,2,Quarter-Finals,3,1,Henri Leconte,Stefan Edberg,0,1,1
22,1994,1994-451-i034-p235,2,Quarter-Finals,3,2,Goran Ivanisevic,Stefano Pescosolido,2,0,2
23,1994,1994-451-h223-o009,2,Quarter-Finals,3,3,Andrei Olhovskiy,Paul Haarhuis,0,2,2
24,1994,1994-451-h223-i034,2,Semi-Finals,2,2,Goran Ivanisevic,Paul Haarhuis,1,3,4
25,1994,1994-451-e004-h223,2,Finals,1,1,Paul Haarhuis,Stefan Edberg,0,2,2
26,1994,1994-517-f196-z045,3,Round of 32,5,1,Markus Zoecke,Wayne Ferreira,0,2,2
27,1994,1994-517-r016-p045,3,Round of 32,5,2,Gianluca Pozzi,Richey Reneberg,0,1,1
28,1994,1994-517-g016-p014,3,Round of 32,5,4,Brad Gilbert,Brad Pearce,1,0,1
29,1994,1994-517-s403-o099,3,Round of 32,5,5,Alex O'Brien,Jonathan Stark,1,2,3
30,1994,1994-517-g016-k030,3,Round of 16,4,3,Brad Gilbert,Patrik Kuhnen,1,0,1
31,1994,1994-517-f192-c270,3,Round of 16,4,5,Cristiano Caratti,Renzo Furlan,0,1,1
32,1994,1994-517-r016-f192,3,Quarter-Finals,3,2,Renzo Furlan,Richey Reneberg,0,1,1
33,1994,1994-517-s403-g016,3,Quarter-Finals,3,3,Brad Gilbert,Jonathan Stark,3,0,3
34,1994,1994-517-r016-w011,3,Semi-Finals,2,2,Richey Reneberg,Robbie Weiss,0,2,2
35,1994,1994-517-f196-r016,3,Finals,1,1,Richey Reneberg,Wayne Ferreira,2,3,5
36,1994,1994-301-s321-w136,4,Round of 32,5,3,Brett Steven,Todd Woodbridge,0,1,1
37,1994,1994-301-c216-p273,4,Round of 32,5,9,David Prinosil,Tomas Carbonell,1,0,1
38,1994,1994-301-t136-p045,4,Round of 32,5,16,Gianluca Pozzi,Jeff Tarango,1,0,1
39,1994,1994-301-h025-v037,4,Round of 16,4,2,Alexander Volkov,Jakob Hlasek,2,2,4
40,1994,1994-301-o098-t136,4,Round of 16,4,4,Jeff Tarango,Marcos Ondruska,0,1,1
41,1994,1994-301-g182-c216,4,Quarter-Finals,3,1,Magnus Gustafsson,Tomas Carbonell,2,2,4
42,1994,1994-301-e113-s321,4,Quarter-Finals,3,2,Brett Steven,Thomas Enqvist,0,1,1
43,1994,1994-301-m048-o098,4,Quarter-Finals,3,3,Marcos Ondruska,Patrick McEnroe,0,1,1
44,1994,1994-301-b305-h025,4,Quarter-Finals,3,4,Jakob Hlasek,Karsten Braasch,1,0,1
45,1994,1994-301-g182-e113,4,Semi-Finals,2,1,Magnus Gustafsson,Thomas Enqvist,1,0,1
46,1994,1994-301-m048-b305,4,Semi-Finals,2,2,Karsten Braasch,Patrick McEnroe,0,1,1
47,1994,1994-494-s454-b298,5,Round of 32,5,8,Neil Borwick,Stephane Simian,0,1,1
48,1994,1994-494-f031-s454,5,Round of 16,4,4,Jean-Philippe Fleurian,Stephane Simian,0,1,1
49,1994,1994-494-w011-b446,5,Round of 16,4,8,Jonas Bjorkman,Robbie Weiss,1,0,1
50,1994,1994-338-s402-s101,6,Round of 32,5,1,Jonas Svensson,Pete Sampras,0,2,2
51,1994,1994-338-m099-s381,6,Round of 32,5,2,Jan Siemerink,Thomas Muster,0,1,1
52,1994,1994-338-c031-p226,6,Round of 32,5,3,Andrei Chesnokov,Cedric Pioline,1,1,2
53,1994,1994-338-k148-p024,6,Round of 32,5,4,Mikael Pernfors,Petr Korda,1,1,2
54,1994,1994-338-r016-n025,6,Round of 32,5,7,Karel Novacek,Richey Reneberg,0,2,2
55,1994,1994-338-b053-s015,6,Round of 32,5,8,Arnaud Boetsch,Javier Sanchez,2,0,2
56,1994,1994-338-k023-y017,6,Round of 32,5,9,Aaron Krickstein,Jaime Yzaga,1,1,2
