index,Name,Aces,Double Faults,Service Points Won,Break Points Converted,Sets Won,Tiebreaks Won,Wins,Match Duration,Year
0,Bryan Shelton,7.8,3.4,45,1.6,0.6,0.2,0,110.2,1994
1,Marc Rosset,12.4,4.6,45.2,3,1.6,0.2,0.8,91.8,1994
2,Mats Wilander,1.8,2,53,1.8,0.4,0,0,120.8,1994
3,Guillaume Raoux,6.2,3,41.8,2.6,1.4,0.2,0.6,98.2,1994
4,Grant Stafford,0.6,4.2,43.6,3.8,1.6,0.4,0.8,93.8,1994
5,Alexander Volkov,7.6,1.4,58.4,2.4,1.6,0.4,0.6,99,1994
6,Brett Steven,4,2.4,48.2,3.2,1.2,0,0.4,101.2,1994
7,Alexander Volkov,6.4,1.8,52.4,3,1.8,0.4,0.8,105.8,1994
8,Guillaume Raoux,6.6,3.4,53.2,2.4,1.4,0.2,0.6,113.2,1994
9,Grant Stafford,1,5.4,51.4,4.2,1.8,0.4,0.8,96.4,1994
10,Alexander Volkov,6,2,50,4.2,2,0.2,1,92.8,1994
11,Alexander Volkov,4.2,2.4,41.6,4.4,1.6,0,0.8,84.4,1994
12,Gary Muller,7.6,4.2,44,2,0.6,0,0.2,91,1994
13,Goran Ivanisevic,14,3,44.2,3,1.8,0.2,0.8,84.4,1994
14,Javier Sanchez,2.2,2.2,43.8,1.8,0.6,0,0.2,139.6,1994
15,Andrei Cherkasov,1.6,3.4,50,3,1.2,0.2,0.4,102.8,1994
16,Jordi Burillo,2.8,6.6,39.8,2.4,0.6,0.4,0.2,84.4,1994
17,Anders Jarryd,7.2,6.8,54.4,3.4,1.6,0.4,0.6,100.4,1994
18,Henri Leconte,8.6,6,51.4,4,1.8,0.2,0.8,100.2,1994
19,Andrei Olhovskiy,7.6,4,41.8,3.4,1.6,0.2,0.8,113.4,1994
20,Olivier Delaitre,2.4,3.8,35.6,2.2,0.8,0.2,0.4,123.6,1994
21,Henri Leconte,6.6,5.2,43.8,3,1.4,0.2,0.6,97,1994
22,Goran Ivanisevic,9.8,2.2,46.8,2.4,1.6,0.2,0.8,102.8,1994
23,Andrei Olhovskiy,5.8,3.8,42,2.4,1.2,0.2,0.6,108.8,1994
24,Goran Ivanisevic,8.2,2.4,46.6,1.8,1.2,0.2,0.6,120,1994
25,Markus Zoecke,4.6,3.4,48.6,1.2,0.2,0,0,76.2,1994
26,Gianluca Pozzi,3.6,2.8,48.2,2.2,0.6,0,0.2,76.4,1994
27,Brad Gilbert,4.4,3.2,50.6,3,1,0,0.4,106,1994
28,Alex O'Brien,4.8,2.4,52.6,2.4,0.6,0,0,103.4,1994
29,Brad Gilbert,5,3,47.8,2.4,1,0,0.4,107.6,1994
30,Cristiano Caratti,1,2.8,41.6,2,0.6,0,0.2,97.4,1994
31,Renzo Furlan,1.2,1,33.8,2.2,1,0.2,0.4,124.2,1994
32,Brad Gilbert,5.6,3.8,50.4,2.8,1,0,0.4,121.8,1994
33,Richey Reneberg,2,0.2,33.6,3.4,1.6,0,0.8,141,1994
34,Richey Reneberg,2,0.6,37.8,3.4,1.8,0.2,0.8,143.2,1994
35,Brett Steven,3,2.4,46,3.4,1.6,0,0.6,106.6,1994
36,David Prinosil,6.6,7,38.2,2.2,0.6,0.2,0.2,110.6,1994
37,Gianluca Pozzi,4,4,49.2,2.4,0.8,0,0.2,82.8,1994
38,Alexander Volkov,4.6,3.4,40.8,4.2,1.4,0,0.6,85.2,1994
39,Jeff Tarango,2.6,2.8,51.2,3.8,1.4,0,0.4,100.8,1994
40,Magnus Gustafsson,3,3,38.6,3.4,1.6,0.2,0.8,71.4,1994
41,Brett Steven,1.8,3,50,3.6,1.6,0.2,0.6,100,1994
42,Marcos Ondruska,5.4,3.8,46.4,3.6,1.2,0,0.4,109,1994
43,Jakob Hlasek,5.4,3,45.4,2.6,1.2,0.4,0.6,94.2,1994
44,Magnus Gustafsson,1.6,2.8,38.4,4,1.6,0,0.8,73,1994
45,Karsten Braasch,9.2,1.6,39.4,2.6,1.4,0,0.6,112.4,1994
46,Neil Borwick,4,2.8,42.4,1.6,0.6,0,0.2,143,1994
47,Jean-Philippe Fleurian,2.8,0.6,35.8,3.2,1.4,0.2,0.6,124.6,1994
48,Jonas Bjorkman,4.4,6.6,42.2,2.8,0.8,0.2,0.2,126.8,1994
49,Jonas Svensson,3.6,1.6,44.6,1.4,0.8,0.2,0.2,102.2,1994
50,Jan Siemerink,7.4,4.8,50.8,1.8,1,0.4,0.4,113.2,1994
51,Andrei Chesnokov,4.2,3.4,44.6,2.8,1,0.4,0.4,88.6,1994
52,Mikael Pernfors,3,3.6,43.4,2,1,0.4,0.2,99,1994
53,Karel Novacek,4.6,2.2,37.2,1.2,0.4,0,0.2,107,1994
54,Arnaud Boetsch,3.2,1.8,58,2.6,1.8,0.2,0.8,135.4,1994
55,Aaron Krickstein,4,2.2,46.8,2.4,1,0.4,0.4,83,1994
56,MaliVai Washington,3.8,2,43.4,2.2,0.8,0.2,0.2,78.6,1994
57,Daniel Vacek,7.8,4.6,53.6,1.8,1.4,0.2,0.6,100.8,1994
58,Petr Korda,3.8,4.6,60.2,4,1.4,0.4,0.6,100,1994
59,Aaron Krickstein,4.6,2.4,52.6,2.8,1.4,0.4,0.6,75.8,1994
60,Aaron Krickstein,2.6,2,45.8,2.4,1,0.2,0.4,83.6,1994
61,Pete Sampras,5.8,3.6,41.4,4.6,1.8,0,0.8,104,1994
62,Ivan Lendl,11.2,2.6,42.6,3.6,1.8,0.2,0.8,73.6,1994
63,Ivan Lendl,13.2,1.8,44.6,3,1.6,0.2,0.8,79.4,1994
64,MaliVai Washington,4,1.6,55.8,3,1.4,0.4,0.4,76.2,1994
65,Javier Sanchez,2.2,2,42,1.2,0.4,0,0.2,124.2,1994
66,Cedric Pioline,8,3.6,61.2,3.4,1.4,0.4,0.4,93.4,1994
67,Jaime Yzaga,2.4,5.6,52.6,2.6,0.4,0.2,0,102.6,1994
68,Alexander Volkov,5.6,3.6,47.2,4.2,1.6,0,0.6,77.4,1994
69,Alex Antonitsch,3.8,3,53.2,1.4,0.8,0.4,0.2,81.6,1994
70,Andrei Cherkasov,2.2,4.4,53.8,4.2,1.4,0.2,0.4,109.2,1994
71,Diego Nargiso,8.4,5.6,53.8,1.8,0.6,0.4,0,113.6,1994
72,Patrick McEnroe,1,1.6,54.2,3.8,1.4,0.2,0.6,99,1994
73,Andrei Olhovskiy,6.2,4.4,54,2.6,1,0.4,0.4,119,1994
74,Andrei Chesnokov,4.2,5,63.4,3.6,1.2,0.6,0.2,105,1994
75,Gianluca Pozzi,3.2,4.2,42.8,1.8,0.4,0,0,92.6,1994
76,David Rikl,2.2,3.2,43.6,3.6,1.6,0.2,0.8,126.8,1994
77,Emilio Sanchez,3.4,1.8,64.6,3.6,1.8,0.6,0.6,90.2,1994
78,Dimitri Poliakov,2.8,2.6,43,2.4,1,0.2,0.4,153.8,1994
79,Christian Bergstrom,1.4,1.4,38.6,1.8,0.8,0,0.2,108.2,1994
80,Jan Siemerink,7.2,4.4,57.2,1.4,1,0.2,0.2,92.2,1994
81,Goran Ivanisevic,11,2,62.2,2.8,2,0.2,0.8,114.4,1994
82,Brett Steven,1.2,2.4,51.6,4.8,1.6,0.2,0.6,94.6,1994
83,Jakob Hlasek,3.8,4,61,3.2,1.6,0.2,0.6,94.4,1994
84,Karel Novacek,5.8,3.6,48.2,1.8,1,0.4,0.4,118,1994
85,Ivan Lendl,15.8,3,66.8,3.4,2,0.4,0.8,110.8,1994
86,Alex Antonitsch,3,2.8,47.2,2,1,0.4,0.4,85.6,1994
87,Jonathan Stark,7.8,2.4,68,2,1.6,0.6,0.6,121.8,1994
88,Guillaume Raoux,6.4,3.8,55.8,3.6,1.6,0,0.6,104.4,1994
89,Fabrice Santoro,4.8,4.6,60.8,4.8,1.8,0,0.6,158,1994
90,Emilio Sanchez,2.8,2,57.4,2.4,1.4,0.6,0.4,93.4,1994
91,Jonas Svensson,3.6,2.6,53.8,3.4,1.4,0.2,0.4,116.2,1994
92,Andrei Cherkasov,2.4,4.2,59.2,4.4,1.8,0.2,0.4,127.8,1994
93,Aaron Krickstein,3.8,3,68.2,4.8,1.8,0.4,0.6,106.2,1994
94,Guillaume Raoux,7.2,3.6,56,3.6,1.6,0,0.6,86,1994
95,Alexander Volkov,4.8,4.4,55.2,4.8,1.8,0,0.6,89.4,1994
96,Karel Novacek,7.2,3.6,51.2,2,1,0.4,0.4,101.6,1994
97,Ivan Lendl,12.2,2.8,69.8,4,2.2,0.2,0.8,130.4,1994
98,Alex Antonitsch,4.6,3.4,57,2.6,1.2,0.4,0.4,110.8,1994
99,Ivan Lendl,13,3.2,78.2,3.8,1.8,0.2,0.6,149.8,1994
100,Jim Courier,6.4,2.6,57.6,3.2,1.8,0.2,0.6,132.2,1994
101,Alexander Volkov,5.8,6.6,61.4,4.4,1.8,0,0.6,91.4,1994
102,Goran Ivanisevic,14.8,3.6,82.6,4.6,2.4,0.2,0.8,124.6,1994
103,Stefan Edberg,3.4,5.8,72.4,6.6,2.6,0,0.8,98.2,1994
104,Sergi Bruguera,3.8,0.8,48.4,3.2,1.2,0.2,0.4,99.8,1994
105,Magnus Gustafsson,2.8,5.6,68,5.6,2.8,0.4,1,122.6,1994
106,Greg Rusedski,8.6,7.6,56.4,1,0.6,0,0.2,111.4,1994
107,Alexander Volkov,5.8,6.6,65.2,4,1.8,0.2,0.6,100.2,1994
108,Emilio Sanchez,2.4,2,51.4,2.6,1.2,0.4,0.4,122.6,1994
109,Lars Jonsson,3.6,1.8,59,4,1.6,0.2,0.6,136.2,1994
110,Andrei Cherkasov,2.2,6.4,56.2,4.4,1.6,0,0.4,103.8,1994
111,Mark Woodforde,4.4,3.4,42.4,2.8,0.8,0,0.2,96.8,1994
112,Karel Novacek,7,3.6,52.6,2.4,1,0.4,0.4,95.4,1994
113,Marc-Kevin Goellner,8.4,3.8,42.4,2.2,0.8,0.2,0.4,139,1994
114,Petr Korda,3.2,7.8,48.2,3.8,1,0,0.4,119.8,1994
115,Ivan Lendl,7,2.4,52.4,4,1.6,0,0.6,170.8,1994
116,Alexander Volkov,4,5.8,61,4.4,1.8,0.2,0.8,125.2,1994
117,Sergi Bruguera,2.6,0.4,40,3.2,1.6,0.2,0.8,155.6,1994
118,Magnus Gustafsson,2.4,3.4,45.4,3.2,2,0.2,1,158.4,1994
119,Michael Stich,10.8,3.6,69,3,1.8,0.6,0.6,140.6,1994
120,Carl-Uwe Steeb,2.6,1.6,36.2,2.8,1.2,0.2,0.6,129.8,1994
121,Amos Mansdorf,1.4,2.4,46.8,2,0.6,0,0.2,73.8,1994
122,Jan Siemerink,7.4,5,61,1.6,1,0.2,0.2,101.4,1994
123,Henri Leconte,5.8,3.6,42.8,4.2,1.4,0,0.6,117.4,1994
124,Michael Stich,6.8,3.2,59.6,3,1.6,0.4,0.6,142,1994
125,Boris Becker,11.4,5.2,45.4,2.4,1.4,0.4,0.6,109.8,1994
126,Jakob Hlasek,3.6,4.2,52.4,2.8,1.2,0,0.4,122.6,1994
127,Guillaume Raoux,8.4,3.4,60.2,4,1.8,0.2,0.6,102.8,1994
128,Marc Rosset,10.8,2.6,43.6,3,1.8,0.2,0.8,107.8,1994
129,Arnaud Boetsch,4.6,2.2,44.6,4,2.2,0.4,1,117.4,1994
130,Arnaud Boetsch,4.8,2,45.2,3,1.6,0.4,0.8,111.2,1994
131,Michael Chang,2.8,2.6,34.4,4.6,2,0,1,150.6,1994
132,Brad Gilbert,5,3.6,48.4,2.6,0.8,0,0.4,113.2,1994
133,Brian MacPhie,5.2,2.8,43,1.8,0.6,0,0.2,121.2,1994
134,Cristiano Caratti,3.6,4.8,50,2.8,0.6,0.2,0.2,147.2,1994
135,Jeff Tarango,2.6,1.4,50.4,3.6,1.6,0,0.6,125.8,1994
136,Kenneth Carlsen,7.8,2.4,55.8,1.8,1,0,0.4,131.4,1994
137,Jaime Oncins,1.8,7.8,45.6,4.2,1.2,0.2,0.4,98.4,1994
138,Bryan Shelton,5.4,3.6,41.2,1.6,1,0.2,0.4,131.4,1994
139,Jean-Philippe Fleurian,2.2,1.2,40.2,3.6,1.4,0.2,0.6,166.2,1994
140,Brian MacPhie,4.4,2,41.6,2.2,1,0,0.4,134.6,1994
141,Bryan Shelton,5,4.2,39.4,1.2,0.8,0.2,0.4,134.8,1994
142,Renzo Furlan,3.6,0.6,44.2,5.4,1.8,0.2,0.8,138.2,1994
143,Michael Chang,4.6,3,53,4.4,1.8,0,0.8,129.6,1994
144,Bryan Shelton,6,4.2,40.6,1.2,0.8,0.2,0.4,119,1994
145,David Nainkin,1,6.2,39.8,3.6,1,0.2,0.4,92.6,1994
146,Alex O'Brien,4.6,1.2,39.2,1.8,0.8,0,0.4,118.6,1994
147,Jared Palmer,5.6,5.6,71.6,5.2,1.6,0,0.4,122.4,1994
148,Jacco Eltingh,9.2,2.6,61.4,2.2,1.4,0.4,0.4,90.2,1994
149,Michael Chang,7.2,2.4,58.2,4.4,1.8,0,0.8,127.2,1994
150,Byron Black,1.2,4.2,33.2,1.4,0.4,0,0.2,92.2,1994
151,Andrei Chesnokov,3.4,3.4,57.8,3.8,1.4,0.4,0.4,107.6,1994
152,David Nainkin,0.8,6.4,36.4,3.2,1,0,0.4,71.6,1994
153,Doug Flach,4.4,3.6,45.4,0.4,0.6,0.4,0.2,130.6,1994
154,Cristiano Caratti,3.6,3.8,51,2.8,1,0.2,0.4,86.8,1994
155,Karsten Braasch,9.6,2.4,50.4,2.8,1.8,0,0.8,121,1994
156,MaliVai Washington,8.6,4,73.6,5.2,1.8,0.4,0.6,74.8,1994
157,Andrei Chesnokov,3.6,3.8,58.4,3.6,1.4,0.4,0.4,92.6,1994
158,Brad Gilbert,5.4,1.8,41.2,3.2,1.2,0,0.6,110,1994
159,Jonathan Stark,10.2,3.6,60.4,1.2,1.2,0.6,0.4,93.8,1994
160,Brad Gilbert,5.2,2.4,40,3.4,1.2,0,0.6,109.2,1994
161,Alex O'Brien,5,0.8,41.6,3,1.6,0.2,0.8,72.2,1994
162,Brad Gilbert,6.6,2,36.6,4.2,1.6,0.2,0.8,114.2,1994
163,Arnaud Boetsch,4.4,2.8,51.2,2.6,1.4,0.4,0.6,102.4,1994
164,Marc Rosset,13.6,4.4,51,2.4,1.8,0.8,0.8,118.8,1994
165,Jordi Burillo,3.8,7.4,37,1.2,0.2,0,0,99.8,1994
166,Brett Steven,1.6,2.8,51.2,4,1.2,0.2,0.4,101.6,1994
167,Henri Leconte,6.2,3.8,46.2,4.2,1.4,0,0.6,107.6,1994
168,Michael Stich,9,3.4,47.4,2.4,1.6,0.6,0.6,126,1994
169,Jan Siemerink,6.6,5,55,2.2,1.2,0.2,0.4,116.6,1994
170,Goran Ivanisevic,13.8,3.6,66.2,3.6,2,0.2,0.8,124,1994
171,Amos Mansdorf,1.8,2.6,55,2,1.2,0.4,0.4,80.6,1994
172,Petr Korda,4.2,5,46.4,4,1.8,0,0.8,122.4,1994
173,Henri Leconte,5.8,4.2,42.8,4,1.4,0,0.6,108.6,1994
174,Karel Novacek,6.4,2.6,43.2,2.2,1.2,0.4,0.6,100,1994
175,Goran Ivanisevic,13.4,4,55.8,3.2,1.6,0.2,0.6,123.8,1994
176,Petr Korda,4.4,3.2,47.6,3.8,1.8,0,0.8,107,1994
177,Boris Becker,10.8,4.8,52.2,3.8,2,0.2,1,107.4,1994
178,Jacco Eltingh,8.8,2.2,61.2,2,1.6,0.4,0.6,103.8,1994
179,Chuck Adams,4.8,1.4,43.6,2.4,1,0,0.4,87,1994
180,Ivan Lendl,8.6,1.8,47.8,3.6,1.4,0,0.6,164.8,1994
181,MaliVai Washington,7,2.8,65.2,4.8,1.4,0.2,0.4,92.2,1994
182,Andrei Chesnokov,5,4.2,58.2,3.2,1.4,0.4,0.4,118.8,1994
183,Jimmy Connors,0.4,2.2,42.2,2.6,0.2,0,0,98.2,1994
184,Grant Stafford,2.4,5.2,47.6,4.4,1.2,0,0.4,81.2,1994
185,Paul Haarhuis,7,1.8,60,3.6,1.8,0.6,0.8,96.6,1994
186,Andrei Chesnokov,5.2,3.2,45.6,3,1.4,0.2,0.6,134.8,1994
187,Jonathan Stark,10,3.4,47.8,1.4,1.2,0.8,0.6,84,1994
188,Jacco Eltingh,7.8,2.4,55.2,2.2,1.6,0.6,0.6,124.2,1994
189,Jim Courier,4,2.8,41.4,3.4,1.2,0,0.6,81.6,1994
190,Michael Chang,4.4,1.4,42.6,4.2,2,0.2,1,87.2,1994
191,Michael Stich,8.8,3.8,46,2.4,1.6,0.4,0.6,125.8,1994
192,Andrei Olhovskiy,7.8,4.6,62,2.2,0.8,0.4,0.2,134,1994
193,Goran Ivanisevic,11.4,3.2,52.4,2.6,1.4,0,0.6,127.8,1994
194,Magnus Gustafsson,3,2.6,45.8,3.8,2,0,1,136.4,1994
195,Arnaud Boetsch,3.2,2.6,51,3,1.4,0.4,0.6,97.4,1994
196,Andrei Cherkasov,3.4,5.8,55.6,5.2,1.8,0,0.6,109,1994
197,Carlos Costa,4.2,2.4,42.8,2.6,1.2,0,0.6,102.8,1994
198,Amos Mansdorf,2.6,2.2,52.4,0.6,0.6,0.4,0.2,86.8,1994
199,Jason Stoltenberg,4.2,1.4,44.8,2,1,0,0.4,143.6,1994
200,Andrei Cherkasov,3.2,5,47.6,3.6,1.2,0,0.4,109.2,1994
201,Jason Stoltenberg,3.4,2,37.6,1.8,0.8,0,0.4,141.4,1994
202,Carlos Costa,5,2.6,40.4,2.4,1,0,0.4,113.8,1994
203,Carl-Uwe Steeb,3.2,1,34.8,1.6,1,0,0.4,119.6,1994
204,Cedric Pioline,10,3.6,56.4,3.2,1.6,0.4,0.6,89.2,1994
205,Alexander Volkov,4.2,2.8,40.6,2.2,1,0.2,0.4,119.6,1994
206,Arnaud Boetsch,3.4,3,53.4,2.6,1.4,0.6,0.6,91,1994
207,Boris Becker,8.6,4,45,3.2,2,0.4,1,92.8,1994
208,Arnaud Boetsch,4,2.6,49.6,1.6,1,0.4,0.4,83,1994
209,Magnus Gustafsson,3,2.8,45,3.8,1.8,0,0.8,106,1994
210,Sergi Bruguera,4,1,52.2,2.4,1.6,0.2,0.6,101.8,1994
211,Boris Becker,9.6,5,50,2.6,1.8,0.2,0.8,108,1994
212,Goran Ivanisevic,14.2,5.8,56.6,3.6,1.8,0,0.8,126.4,1994
213,Alberto Berasategui,2.8,4.4,41.2,1.8,0.8,0,0.2,96.2,1994
214,Marcelo Filippini,1,5.4,53.2,3.8,1,0,0.2,135,1994
215,David Rikl,2.6,7,51.8,2.6,1,0,0.4,104.6,1994
216,Alex Corretja,2.2,3,40,3.4,1.2,0.2,0.6,113.8,1994
217,Jacco Eltingh,7.4,3,54.2,1.6,1.2,0.6,0.4,130.2,1994
218,Boris Becker,10.8,4.8,53.2,2.2,1.6,0.2,0.6,118.8,1994
219,Martin Damm,7,4.4,59.4,2.6,1.4,0.2,0.4,104.8,1994
220,Alexander Volkov,4.6,3.4,40,2.4,1,0.2,0.4,107.4,1994
221,Guillaume Raoux,7.4,2.6,54.4,3.2,1.6,0.2,0.6,99.6,1994
222,Daniel Vacek,8.2,5,65.8,2.2,1.4,0.2,0.4,93.8,1994
223,Magnus Gustafsson,2.8,2,43.8,3,1.4,0.2,0.6,75.8,1994
224,Jakob Hlasek,6.8,3,48.6,2.2,1,0.4,0.4,98.8,1994
225,Alexander Volkov,5.6,3.8,51.4,2.8,1.4,0.4,0.6,93,1994
226,Karel Novacek,12.8,2.8,45.4,1.2,1,0,0.4,91,1994
227,Michael Stich,9.8,4,40.8,2.6,1.6,0,0.8,82.6,1994
228,Goran Ivanisevic,13.4,4.6,50.8,2.6,1.8,0.2,0.8,120.2,1994
229,Alexander Volkov,6.2,3.4,52,2.6,1.2,0.2,0.6,93.6,1994
230,Michael Stich,9,3.6,41.8,2.4,1.6,0,0.8,85.4,1994
231,Goran Ivanisevic,12.6,3.4,51.6,2.2,1.6,0.2,0.6,118,1994
232,Michael Stich,10,3.2,46.8,3,2,0,1,88.8,1994
233,MaliVai Washington,5.8,3.6,59,3,1.2,0.4,0.4,107.2,1994
234,Byron Black,1,2.4,39,1.8,0.8,0,0.4,99.8,1994
235,Javier Sanchez,0.8,2.2,41.8,1,0.2,0,0,85.4,1994
236,Andrei Cherkasov,2.4,5,34.6,3.2,0.8,0,0.4,125,1994
237,Bernd Karbacher,4,5,41.2,1.2,0.2,0,0,137.2,1994
238,Alex O'Brien,4.6,2.2,50,3,1.4,0.2,0.4,96.4,1994
239,Brad Gilbert,7.6,3.4,38.4,4.2,1.6,0.2,0.8,145,1994
240,Byron Black,1.2,2,38.6,1.8,0.8,0,0.4,118.6,1994
241,Grant Stafford,2.2,4,39.8,3.2,0.6,0,0.2,82.2,1994
242,Jeff Tarango,4.6,2.4,46.6,3,1,0.2,0.2,93.4,1994
243,Andre Agassi,3.8,1.8,42.4,3.6,1.8,0,0.8,135.2,1994
244,Chuck Adams,5.2,2,43,2,1,0,0.4,90.2,1994
245,Luiz Mattar,5.6,0.8,48.4,3.2,1.6,0.2,0.8,175.2,1994
246,Andre Agassi,1.8,1.2,33.4,3.6,1.8,0,0.8,150,1994
247,Christian Bergstrom,1.8,2.6,38.8,2,0.8,0,0.2,136.6,1994
248,Anders Jarryd,2.8,4,43.8,2.6,1.2,0.2,0.4,112.2,1994
249,Stephane Simian,7.8,5.6,75.2,2.6,1.4,0.6,0.4,120.6,1994
250,David Prinosil,8.8,7,51.2,1.6,0.6,0.2,0,88.2,1994
251,Jan Siemerink,5,5,44.4,2.4,1,0,0.4,134,1994
252,Andrei Olhovskiy,15.6,5.6,59.2,1.4,1.2,0.2,0.4,133.4,1994
253,Alex Antonitsch,5.8,3.8,50.6,2.4,1,0,0.4,119.6,1994
254,Guillaume Raoux,3.6,3.2,51.8,2.6,1.2,0.2,0.4,109.4,1994
255,Andrei Olhovskiy,17.4,6.4,61,1.6,1.4,0.4,0.4,135.4,1994
256,Cedric Pioline,8.6,3.2,56.6,2.2,1.2,0.4,0.4,82.6,1994
257,Mark Woodforde,1.4,2.4,30.8,2.4,0.4,0,0.2,123.4,1994
258,Alexander Volkov,6.6,3.6,53.6,2.8,1.2,0.2,0.6,104.2,1994
259,Alberto Berasategui,2.8,5.2,42.2,2.8,0.8,0,0.2,95.8,1994
260,Andre Agassi,1.2,0.6,27.6,4.4,2,0,1,177.6,1994
261,Steve Bryan,1.2,2.6,47.2,2.2,1,0.2,0.4,94.4,1994
